ID	분류	기능명	요구사항
U-FR-292	퀴즈코스	레벨별 구성	퀴즈는 입문/기본/심화 레벨로 구성되어야 한다.
U-FR-293	퀴즈코스	직접 접근	사용자는 원하는 소분류의 특정 레벨에 직접 접근하여 퀴즈를 풀 수 있어야 한다.
U-FR-300	자유게시판	게시글 작성	사용자는 프로젝트 팀원 모집, 공모전 팀원 모집, 채용 공고 게시글을 작성할 수 있어야 한다.
U-FR-301	자유게시판	게시글 카테고리	게시글은 프로젝트/공모전/채용/기타 카테고리로 구분되어야 한다.
U-FR-302	자유게시판	게시글 검색	사용자는 제목, 내용, 카테고리로 게시글을 검색할 수 있어야 한다.
U-FR-303	자유게시판	게시글 댓글	사용자는 게시글에 댓글 및 대댓글을 작성할 수 있어야 한다.
U-FR-304	자유게시판	게시글 신고	부적절한 게시글/댓글을 신고할 수 있어야 한다.
U-FR-310	퀴즈대회	꼬멘틀 게임	시스템은 매일 새로운 IT 용어를 추측하는 꼬멘틀(Wordle 스타일) 게임을 제공해야 한다.
U-FR-311	퀴즈대회	꼬멘틀 힌트	시도 횟수에 따라 글자 위치, 포함 여부 등 힌트가 제공되어야 한다.
U-FR-312	퀴즈대회	꼬멘틀 결과 공유	게임 결과를 이미지 또는 텍스트로 공유할 수 있어야 한다.
U-FR-313	퀴즈대회	꼬멘틀 기록	사용자의 연속 정답 기록(스트릭)이 저장되어야 한다.
U-FR-320	대시보드	IT 뉴스 피드	개인 대시보드에서 IT/개발 관련 뉴스를 조회할 수 있어야 한다.
U-FR-321	대시보드	뉴스 카테고리 필터	뉴스를 카테고리(프론트엔드/백엔드/AI/클라우드 등)로 필터링할 수 있어야 한다.
U-FR-322	대시보드	인기 스터디 모집글	개인 대시보드에서 인기 스터디 모집글 목록을 조회할 수 있어야 한다.
U-FR-323	대시보드	인기 기준	인기 스터디는 조회수, 찜 수, 신청 수를 기반으로 산정되어야 한다.
U-FR-330	팀원모집	모집글 작성	사용자는 해커톤/프로젝트/공모전 팀원 모집글을 작성할 수 있어야 한다.
U-FR-331	팀원모집	모집 카테고리	모집글은 해커톤/프로젝트/공모전/기타 카테고리로 구분되어야 한다.
U-FR-332	팀원모집	모집 조건 설정	모집글에 필요 기술스택, 모집 인원, 마감일, 예상 기간을 설정할 수 있어야 한다.
U-FR-333	팀원모집	팀원 지원	사용자는 모집글에 자기소개와 함께 지원할 수 있어야 한다.
U-FR-334	팀원모집	지원자 관리	모집글 작성자는 지원자 목록을 확인하고 수락/거절할 수 있어야 한다.
U-FR-335	팀원모집	지원 현황	사용자는 본인의 지원 현황을 확인할 수 있어야 한다.
U-FR-336	팀원모집	모집 완료	모집 인원이 충족되거나 마감일이 지나면 모집이 종료되어야 한다.
U-FR-337	팀원모집	모집글 검색	기술스택, 카테고리, 제목으로 모집글을 검색할 수 있어야 한다.
U-FR-340	스터디복습퀴즈	복습퀴즈 목록	스터디 내 AI 생성 복습 퀴즈 목록을 조회할 수 있어야 한다.
U-FR-341	스터디복습퀴즈	퀴즈 풀이	객관식/단답형 퀴즈를 풀 수 있어야 한다.
U-FR-342	스터디복습퀴즈	퀴즈 결과	퀴즈 결과와 정답 해설을 확인할 수 있어야 한다.
U-FR-343	스터디복습퀴즈	오답 노트	틀린 문제를 오답 노트에서 복습할 수 있어야 한다.
U-FR-344	스터디복습퀴즈	반복 학습	틀린 문제가 우선 출제되어야 한다.
U-FR-345	스터디복습퀴즈	AI 퀴즈 생성	미팅 녹취록 또는 학습 자료를 기반으로 AI가 복습 퀴즈를 자동 생성해야 한다.
